480391004,Sampler Operator,,,,,Params,Status,Disclaimer,Data Options,,
[-],NOX,,,,,TCEQ,3,Active,,current day,
,,,,,,,,,,Ê|Êcurrent month,
,Param Code,POC/Seg Cd,Param,Carrier,Status,,,,,,
,42601,1,Nitric Oxide (NO),AIR,Active,,,,,,
,42602,1,Nitrogen Dioxide (NO2),AIR,Active,,,,,,
,42603,1,Oxides Of Nitrogen (NOX),AIR,Active,,,,,,
,Sampler Type,,,,,Sampler Operator,Params,Status,Disclaimer,Data Options,Docs
[-],O3,,,,,TCEQ,1,Active,,current day,
,,,,,,,,,,Ê|Êcurrent month,
,Param Code,POC/Seg Cd,Param,Carrier,Status,,,,,,
,44201,1,Ozone,AIR,Active,,,,,,
,Sampler Type,,,,,Sampler Operator,Params,Status,Disclaimer,Data Options,Docs
[-],Temperature (Outdoor),,,,,TCEQ,1,Active,,current day,
,,,,,,,,,,Ê|Êcurrent month,
,Param Code,POC/Seg Cd,Param,Carrier,Status,,,,,,
,62101,1,Outdoor Temperature,AIR,Active,,,,,,
,Sampler Type,,,,,Sampler Operator,Params,Status,Disclaimer,Data Options,Docs
[-],Wind,,,,,TCEQ,5,Active,,current day,
,,,,,,,,,,Ê|Êcurrent month,
,Param Code,POC/Seg Cd,Param,Carrier,Status,,,,,,
,61101,1,Wind Speed - Scalar,AIR,Active,,,,,,
,61103,1,Wind Speed - Resultant,AIR,Active,,,,,,
,61104,1,Wind Direction - Resultant,AIR,Active,,,,,,
,61105,1,Peak Wind Gust,AIR,Active,,,,,,
,61106,1,Std Dev Hz Wind Direction,AIR,Active,,,,,,
