480391003,Sampler Operator,,,,,Params,Status,Disclaimer,Data Options,,
[-],Canister (Single),,,,,TCEQ,119,Active,,validated data,
,Param Code,POC/Seg Cd,Param,Carrier,Status,,,,,,
,43173,1,1-Hexene & 2-Methyl-1-Pentene,AIR,Active,,,,,,
,43202,1,Ethane,AIR,Active,,,,,,
,43203,1,Ethylene,AIR,Active,,,,,,
,43204,1,Propane,AIR,Active,,,,,,
,43205,1,Propylene,AIR,Active,,,,,,
,43206,1,Acetylene,AIR,Active,,,,,,
,43212,1,n-Butane,AIR,Active,,,,,,
,43214,1,Isobutane,AIR,Active,,,,,,
,43216,1,trans-2-Butene,AIR,Active,,,,,,
,43217,1,cis-2-Butene,AIR,Active,,,,,,
,43218,1,"1,3-Butadiene",AIR,Active,,,,,,
,43220,1,n-Pentane,AIR,Active,,,,,,
,43221,1,Isopentane,AIR,Active,,,,,,
,43224,1,1-Pentene,AIR,Active,,,,,,
,43226,1,trans-2-Pentene,AIR,Active,,,,,,
,43227,1,cis-2-Pentene,AIR,Active,,,,,,
,43228,1,2-Methyl-2-Butene,AIR,Active,,,,,,
,43230,1,3-Methylpentane,AIR,Active,,,,,,
,43231,1,n-Hexane,AIR,Active,,,,,,
,43232,1,n-Heptane,AIR,Active,,,,,,
,43233,1,n-Octane,AIR,Active,,,,,,
,43234,1,4-Methyl-1-Pentene,AIR,Active,,,,,,
,43235,1,n-Nonane,AIR,Active,,,,,,
,43238,1,n-Decane,AIR,Active,,,,,,
,43242,1,Cyclopentane,AIR,Active,,,,,,
,43243,1,Isoprene,AIR,Active,,,,,,
,43244,1,"2,2-Dimethylbutane",AIR,Active,,,,,,
,43247,1,"2,4-Dimethylpentane",AIR,Active,,,,,,
,43248,1,Cyclohexane,AIR,Active,,,,,,
,43249,1,3-Methylhexane,AIR,Active,,,,,,
,43250,1,"2,2,4-Trimethylpentane",AIR,Active,,,,,,
,43252,1,"2,3,4-Trimethylpentane",AIR,Active,,,,,,
,43253,1,3-Methylheptane,AIR,Active,,,,,,
,43261,1,Methylcyclohexane,AIR,Active,,,,,,
,43262,1,Methylcyclopentane,AIR,Active,,,,,,
,43263,1,2-Methylhexane,AIR,Active,,,,,,
,43280,1,1-Butene,AIR,Active,,,,,,
,43282,1,3-Methyl-1-Butene,AIR,Active,,,,,,
,43283,1,Cyclopentene,AIR,Active,,,,,,
,43284,1,"2,3-Dimethylbutane",AIR,Active,,,,,,
,43285,1,2-Methylpentane,AIR,Active,,,,,,
,43289,1,trans-2-Hexene,AIR,Active,,,,,,
,43290,1,cis-2-Hexene,AIR,Active,,,,,,
,43291,1,"2,3-Dimethylpentane",AIR,Active,,,,,,
,43331,1,2-Chloropentane,AIR,Active,,,,,,
,43801,1,Chloromethane,AIR,Active,,,,,,
,43802,1,Dichloromethane,AIR,Active,,,,,,
,43803,1,Chloroform,AIR,Active,,,,,,
,43804,1,Carbon Tetrachloride,AIR,Active,,,,,,
,43811,1,Trichlorofluoromethane,AIR,Active,,,,,,
,43813,1,"1,1-Dichloroethane",AIR,Active,,,,,,
,43814,1,Methyl Chloroform,AIR,Active,,,,,,
,43815,1,Ethylene Dichloride,AIR,Active,,,,,,
,43817,1,Tetrachloroethylene,AIR,Active,,,,,,
,43818,1,"1,1,2,2-Tetrachloroethane",AIR,Active,,,,,,
,43819,1,Bromomethane,AIR,Active,,,,,,
,43820,1,"1,1,2-Trichloroethane",AIR,Active,,,,,,
,43823,1,Dichlorodifluoromethane,AIR,Active,,,,,,
,43824,1,Trichloroethylene,AIR,Active,,,,,,
,43826,1,"1,1-Dichloroethylene",AIR,Active,,,,,,
,43829,1,"1,2-Dichloropropane",AIR,Active,,,,,,
